fid,gid,objeto,fna,gna,nam,PROVINCIA,ACTIVIDAD,JUL_2020,AGO_2020,SEP_2020,OCT_2020,NOV_2020,DIC_2020,ENE_2021,FEB_2021,MAR_2021,ABR_2021,MAY_2021,JUN_2021,JUL_2021,AGO_2021,SEP_2021,OCT_2021,NOV_2021,DIC_2021,ENE_2022,FEB_2022,MAR_2022,ABR_2022,MAY_2022,JUN_2022,JUL_2022,AGO_2022,SEP_2022,OCT_2022,NOV_2022,DIC_2022,ENE_2023,FEB_2023,MAR_2023,ABR_2023,MAY_2023,JUN_2023,JUL_2023,AGO_2023,SEP_2023,OCT_2023,NOV_2023,DIC_2023,ENE_2024,FEB_2024,MAR_2024,ABR_2024,MAY_2024,JUN_2024,JUL_2024,AGO_2024,SEP_2024
125,1260,Departamento,Partido de Ayacucho,Partido,Ayacucho,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
122,1257,Departamento,Partido de Azul,Partido,Azul,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,946/2024,946/2024,946/2024,,,,,,,,
16,1080,Departamento,Partido de Bahía Blanca,Partido,Bahía Blanca,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946/2024,946/2024,946/2024,,,,,,,,
118,1253,Departamento,Partido de Balcarce,Partido,Balcarce,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,,,,,,,,,,,,,,,,,,
145,1304,Departamento,Partido de Baradero,Partido,Baradero,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
190,1477,Departamento,Departamento Belgrano,Departamento,Belgrano,SANTA FE,AGRICULTURA,,,,,,,,,,,,,,,,,,,31/2022,31/2022,31/2022,31/2022,31/2022,31/2022,,,,,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,750/2023,750/2023,750/2023,750/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,,,,,,
391,1510,Departamento,Departamento Bella Vista,Departamento,Bella Vista,CORRIENTES,AGRICULTURA,,,,,,,,,,,,,,,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,197/2023,197/2023,197/2023,197/2023,197/2023,197/2023,1620/2023,1620/2023,1620/2023,1620/2023,1620/2023,1620/2023,,,,,,,,,
130,1265,Departamento,Partido de Benito Juárez,Partido,Benito Juárez,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,,,,,,,,
28,1098,Departamento,Partido de Berazategui,Partido,Berazategui,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1271,Departamento,Partido de Berisso,Partido,Berisso,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612/2023,1612/2023,1612/2023,1612/2023,1612/2023,1612/2023,1612/2023,,,,,,,,,,,
313,1297,Departamento,Departamento Bermejo,Departamento,Bermejo,CHACO,AGRICULTURA,,,,224/2020,224/2020,224/2020,224/2020,224/2020,224/2020,69/2021,69/2021,69/2021,69/2021,69/2021,69/2021,,,,,41/22,41/22,41/22,41/22,41/22,41/22,,,,,,194/23,194/23,194/23,194/23,194/23,194/23,194/23,,,,,,,,,,,,,,
454,1150,Departamento,Departamento Bermejo,Departamento,Bermejo,FORMOSA,AGRICULTURA,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,,,,,,,,,,,,,49/2022,49/2022,49/2022,49/2022,49/2022,49/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,1523,Departamento,Departamento Berón de Astrada,Departamento,Berón de Astrada,CORRIENTES,AGRICULTURA,,,,,,,,,,,,,,,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,197/2023,197/2023,197/2023,197/2023,197/2023,197/2023,,,,,,,,,,,,,,,
117,1252,Departamento,Partido de Bolívar,Partido,Bolívar,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946/2024,946/2024,946/2024,,,,,,,,
104,1239,Departamento,Partido de Bragado,Partido,Bragado,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,,,,,,,,
68,1202,Departamento,Partido de Brandsen,Partido,Brandsen,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
367,1483,Departamento,Departamento Cainguás,Departamento,Cainguás,MISIONES,AGRICULTURA,,,,,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,,,,,,,,21/2022,21/2022,21/2022,21/2022,21/2022,21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,1551,Departamento,Departamento Calamuchita,Departamento,Calamuchita,CÓRDOBA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1431,Departamento,Departamento Caleu Caleu,Departamento,Caleu Caleu,LA PAMPA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
39,1114,Departamento,Partido de Campana,Partido,Campana,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
365,1481,Departamento,Departamento Candelaria,Departamento,Candelaria,MISIONES,AGRICULTURA,,,,,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,,,,,,,,21/2022,21/2022,21/2022,21/2022,21/2022,21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1246,Departamento,Partido de Cañuelas,Partido,Cañuelas,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
176,1443,Departamento,Departamento Capital,Departamento,Capital,LA PAMPA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
363,1479,Departamento,Departamento Capital,Departamento,Capital,MISIONES,AGRICULTURA,,,,,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,,,,,,,,21/2022,21/2022,21/2022,21/2022,21/2022,21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,1526,Departamento,Departamento Capital,Departamento,Capital,CORRIENTES,AGRICULTURA,,,,,,,,,,,,,,,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,197/2023,197/2023,197/2023,197/2023,197/2023,197/2023,,,,,,,,,,,,,,,
418,1542,Departamento,Departamento Capital,Departamento,Capital,CÓRDOBA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1216,Departamento,Partido de Capitán Sarmiento,Partido,Capitán Sarmiento,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
69,1203,Departamento,Partido de Carlos Casares,Partido,Carlos Casares,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946/2024,946/2024,946/2024,,,,,,,,
70,1204,Departamento,Partido de Carlos Tejedor,Partido,Carlos Tejedor,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,317/2023,317/2023,,,,,,,,946/2024,946/2024,946/2024,,,,,,,,
83,1217,Departamento,Partido de Carmen de Areco,Partido,Carmen de Areco,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
184,1464,Departamento,Departamento Caseros,Departamento,Caseros,SANTA FE,AGRICULTURA,,,,,,,,,,,,,,,,,,,31/2022,31/2022,31/2022,31/2022,31/2022,31/2022,,,,,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,750/2023,750/2023,750/2023,750/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,,,,,,
351,1453,Departamento,Departamento Castellanos,Departamento,Castellanos,SANTA FE,AGRICULTURA,,,,,,,,,,,,,,,,,,,31/2022,31/2022,31/2022,31/2022,31/2022,31/2022,,,,,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,750/2023,750/2023,750/2023,750/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,,,,,,
65,1199,Departamento,Partido de Castelli,Partido,Castelli,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
187,1472,Departamento,Departamento Catriló,Departamento,Catriló,LA PAMPA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1228,Departamento,Partido de Chacabuco,Partido,Chacabuco,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,,,,,,,,
308,1280,Departamento,Departamento Chacabuco,Departamento,Chacabuco,CHACO,AGRICULTURA,,,,224/2020,224/2020,224/2020,224/2020,224/2020,224/2020,69/2021,69/2021,69/2021,69/2021,69/2021,69/2021,,,,,,,,,,,,,,,,194/23,194/23,194/23,194/23,194/23,194/23,194/23,,,,,,,,,,,,,,
508,1445,Departamento,Departamento Chalileo,Departamento,Chalileo,LA PAMPA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,538/2023,538/2023,538/2023,538/2023,538/2023,538/2023,538/2023,928/2023,928/2023,928/2023,1485/2023,1485/2023,1485/2023,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
166,1433,Departamento,Departamento Chapaleufú,Departamento,Chapaleufú,LA PAMPA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1111,Departamento,Partido de Chascomús,Partido,Chascomús,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,56/2023,56/2023,56/2023,56/2023,56/2023,56/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,,,,,,,,
507,1432,Departamento,Departamento Chical Co,Departamento,Chical Co,LA PAMPA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
102,1237,Departamento,Partido de Chivilcoy,Partido,Chivilcoy,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,,,,,,,,
131,1266,Departamento,Partido de Colón,Partido,Colón,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
381,1499,Departamento,Departamento Colón,Departamento,Colón,ENTRE RÍOS,AGRICULTURA,,,,,,,,,,,,,,,,,,,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,,,,,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,1070/2023,1070/2023,1070/2023,1070/2023,1070/2023,1070/2023,,,,,,,,,
419,1544,Departamento,Departamento Colón,Departamento,Colón,CÓRDOBA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600/23,600/23,600/23,600/23,600/23,600/23,1523/23,1523/23,1523/23,1523/23,1523/23,1523/23,,,,,,,
324,1325,Departamento,Departamento Comandante Fernández,Departamento,Comandante Fernández,CHACO,AGRICULTURA,,,,224/2020,224/2020,224/2020,224/2020,224/2020,224/2020,69/2021,69/2021,69/2021,69/2021,69/2021,69/2021,,,,,41/22,41/22,41/22,41/22,41/22,41/22,,,,,,194/23,194/23,194/23,194/23,194/23,194/23,194/23,,,,,,,,,,,,,,
372,1488,Departamento,Departamento Concepción,Departamento,Concepción,MISIONES,AGRICULTURA,,,,,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,,,,,,,,21/2022,21/2022,21/2022,21/2022,21/2022,21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,1504,Departamento,Departamento Concepción,Departamento,Concepción,CORRIENTES,AGRICULTURA,,,,,,,,,,,,,,,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,197/2023,197/2023,197/2023,197/2023,197/2023,197/2023,,,,,,,,,,,,,,,
382,1501,Departamento,Departamento Concordia,Departamento,Concordia,ENTRE RÍOS,AGRICULTURA,,,,,,,,,,,,,,,,,,,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,,,,,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,1070/2023,1070/2023,1070/2023,1070/2023,1070/2023,1070/2023,,,,,,,,,
178,1447,Departamento,Departamento Conhelo,Departamento,Conhelo,LA PAMPA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,538/2023,538/2023,538/2023,538/2023,538/2023,538/2023,538/2023,928/2023,928/2023,928/2023,1485/2023,1485/2023,1485/2023,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
162,1425,Departamento,Departamento Constitución,Departamento,Constitución,SANTA FE,AGRICULTURA,,,,,,,,,,,,,,,,,,,31/2022,31/2022,31/2022,31/2022,31/2022,31/2022,,,,,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,750/2023,750/2023,750/2023,750/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,,,,,,
144,1303,Departamento,Partido de Coronel de Marina Leonardo Rosales,Partido,Coronel de Marina Leonardo Rosales,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946/2024,946/2024,946/2024,,,,,,,,
34,1104,Departamento,Partido de Coronel Dorrego,Partido,Coronel Dorrego,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1100,Departamento,Partido de Coronel Pringles,Partido,Coronel Pringles,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,,,,,,,,,,,
14,1078,Departamento,Partido de Coronel Suárez,Partido,Coronel Suárez,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,1528,Departamento,Departamento Cruz del Eje,Departamento,Cruz del Eje,CÓRDOBA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1474,Departamento,Departamento Curacó,Departamento,Curacó,LA PAMPA,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
396,1515,Departamento,Departamento Curuzú Cuatiá,Departamento,Curuzú Cuatiá,CORRIENTES,AGRICULTURA,,,,,,,,,,,,,,,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,197/2023,197/2023,197/2023,197/2023,197/2023,197/2023,1620/2023,1620/2023,1620/2023,1620/2023,1620/2023,1620/2023,,,,,,,,,
123,1258,Departamento,Partido de Daireaux,Partido,Daireaux,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,1368,Departamento,Departamento Diamante,Departamento,Diamante,ENTRE RÍOS,AGRICULTURA,,,,,,,,,,,,,,,,,,,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,,,,,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,1070/2023,1070/2023,1070/2023,1070/2023,1070/2023,1070/2023,,,,,,,,,
121,1256,Departamento,Partido de Dolores,Partido,Dolores,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,56/2023,56/2023,56/2023,56/2023,56/2023,56/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,,,,,,,,
378,1494,Departamento,Departamento Eldorado,Departamento,Eldorado,MISIONES,AGRICULTURA,,,,,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,,,,,,,,21/2022,21/2022,21/2022,21/2022,21/2022,21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,1508,Departamento,Departamento Empedrado,Departamento,Empedrado,CORRIENTES,AGRICULTURA,,,,,,,,,,,,,,,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,197/2023,197/2023,197/2023,197/2023,197/2023,197/2023,,,,,,,,,,,,,,,
127,1262,Departamento,Partido de Ensenada,Partido,Ensenada,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1067,Departamento,Partido de Escobar,Partido,Escobar,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,1513,Departamento,Departamento Esquina,Departamento,Esquina,CORRIENTES,AGRICULTURA,,,,,,,,,,,,,,,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,197/2023,197/2023,197/2023,197/2023,197/2023,197/2023,1620/2023,1620/2023,1620/2023,1620/2023,1620/2023,1620/2023,,,,,,,,,
80,1214,Departamento,Partido de Esteban Echeverría,Partido,Esteban Echeverría,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1219,Departamento,Partido de Exaltación de la Cruz,Partido,Exaltación de la Cruz,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
108,1243,Departamento,Partido de Ezeiza,Partido,Ezeiza,BUENOS AIRES,AGRICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
